gene	conMean	treatMean	logFC	pValue	fdr
ISM1	2.80550662902004	5.92118540022272	1.07762470547747	8.24432632986223e-54	2.47348029555889e-52
CLDN18	0.0444510600022272	0.14185529823608	1.67413030786918	1.22984248137007e-14	5.52980566639904e-14
CARD11	1.19370095028953	2.434207455902	1.02801067393862	2.45041376003724e-42	4.38391306066821e-41
GLT8D2	3.34965969042316	9.27238228507795	1.46892551549051	5.18643297866573e-100	2.51190062941736e-97
HEG1	5.69290471380846	12.969378908686	1.18787253430842	1.3513819974708e-103	9.64531119352711e-101
TCN1	11.9496654284788	26.7203483098062	1.16096858839027	9.6677252231423e-08	2.45121587338923e-07
CCR2	1.00760009055679	2.24658565376392	1.15681091053796	2.66390162816787e-36	3.59097117093285e-35
COPZ2	5.84345193786192	12.099230389755	1.05002250513527	1.80589540988037e-66	9.7181538307094e-65
ITGAD	0.129715912919822	0.260081664492205	1.00360922096476	2.02937605139921e-18	1.17307624181691e-17
MFAP5	7.02479349113586	19.6141316432071	1.48136574588109	2.06253676103662e-72	1.48776920300094e-70
TBX5	0.510105100345212	1.14944552869265	1.17207166863415	4.21037051451282e-80	4.56774676378467e-78
